Species,Mo_since_burn_grouped,Count
Lasioglossum lineatulum,6 to 10,1
Bombus griseocollis,0 to 5,1
Melissodes dentiventris,0 to 5,1
Melissodes bidentis,0 to 5,1
Melissodes bidentis,0 to 5,1
Bombus impatiens,0 to 5,1
Lasioglossum disparile,0 to 5,1
Bombus impatiens,0 to 5,1
Melissodes dentiventris,0 to 5,1
Bombus pensylvanicus,6 to 10,1
Melissodes dentiventris,6 to 10,1
Melissodes dentiventris,6 to 10,1
Bombus impatiens,6 to 10,1
Melissodes dentiventris,6 to 10,1
Melissodes dentiventris,6 to 10,1
Bombus impatiens,6 to 10,1
Melissodes bidentis,6 to 10,1
Bombus impatiens,6 to 10,1
Bombus impatiens,0 to 5,1
Melissodes dentiventris,0 to 5,1
Melissodes ,0 to 5,1
Melissodes bidentis,0 to 5,1
Bombus impatiens,16 to 20,1
Bombus impatiens,16 to 20,1
Bombus impatiens,16 to 20,1
Bombus impatiens,16 to 20,1
Lasioglossum heterognathus,16 to 20,1
Lasioglossum heterognathus,16 to 20,1
Lasioglossum lineatulum,16 to 20,1
Lasioglossum apopkense,16 to 20,1
Lasioglossum coreopsis,16 to 20,1
Bombus impatiens,16 to 20,1
Bombus impatiens,21 plus,1
Lasioglossum coreopsis,21 plus,1
Bombus impatiens,21 plus,1
Bombus impatiens,21 plus,1
Lasioglossum perpunctatum,21 plus,1
Lasioglossum 5,21 plus,1
Lasioglossum coreopsis,21 plus,1
Lasioglossum 6,21 plus,1
Bombus impatiens,16 to 20,1
Halictus parallelus,16 to 20,1
Lasioglossum 5,16 to 20,1
Lasioglossum raleighense,16 to 20,1
Lasioglossum 9,16 to 20,1
Bombus impatiens,6 to 10,1
Augochlora pura,6 to 10,1
Lasioglossum hemimelas,6 to 10,1
Lasioglossum coreopsis,6 to 10,1
Halictus ligatus/poeyi,6 to 10,1
Bombus impatiens,6 to 10,1
Bombus impatiens,6 to 10,1
Lasioglossum 10,6 to 10,1
Lasioglossum versans,6 to 10,1
Bombus impatiens,6 to 10,1
Lasioglossum reticulatum,6 to 10,1
Bombus impatiens,6 to 10,1
Bombus impatiens,0 to 5,1
Bombus impatiens,0 to 5,1
Lasioglossum 8,0 to 5,1
Lasioglossum cressonii,6 to 10,1
Bombus impatiens,6 to 10,1
Bombus impatiens,6 to 10,1
Bombus impatiens,6 to 10,1
Bombus impatiens,6 to 10,1
Bombus impatiens,6 to 10,1
Bombus impatiens,6 to 10,1
Bombus impatiens,0 to 5,1
Lasioglossum 13,0 to 5,1
Lasioglossum apopkense,0 to 5,1
Eucera rosae,21 plus,1
Eucera dubitata,21 plus,1
Eucera dubitata,21 plus,1
Eucera dubitata,21 plus,1
Anthophora bomboides,21 plus,1
Eucera dubitata,21 plus,1
Lasioglossum 14,21 plus,1
Eucera dubitata,11 to 15,1
Bombus impatiens,11 to 15,1
Lasioglossum 15,11 to 15,1
Anthophora bomboides,21 plus,1
Eucera dubitata,21 plus,1
Eucera rosae,21 plus,1
Eucera dubitata,21 plus,1
Eucera rosae,21 plus,1
Eucera dubitata,21 plus,1
Halictus ligatus/poeyi,21 plus,1
Lasioglossum floridanum,21 plus,1
Eucera rosae,21 plus,1
Halictus parallelus,21 plus,1
Halictus parallelus,21 plus,1
Eucera dubitata,21 plus,1
Eucera dubitata,21 plus,1
Eucera dubitata,21 plus,1
Lasioglossum 15,21 plus,1
Lasioglossum obscurum,21 plus,1
Lasioglossum sp.,21 plus,1
Eucera dubitata,11 to 15,1
Hoplitis ,11 to 15,1
Eucera rosae,11 to 15,1
Bombus griseocollis,11 to 15,1
Anthophora bomboides,11 to 15,1
Lasioglossum obscurum,11 to 15,1
Halictus rubicundus,6 to 10,1
Anthophora bomboides,6 to 10,1
Eucera rosae,6 to 10,1
Unknown,6 to 10,1
Eucera rosae,6 to 10,1
Lasioglossum heterognathus,6 to 10,1
Unknown,6 to 10,1
Bombus impatiens,21 plus,1
Bombus bimaculatus,21 plus,1
Bombus pensylvanicus,21 plus,1
Eucera dubitata,21 plus,1
Unknown,21 plus,1
Osmia ,21 plus,1
Eucera rosae,21 plus,1
Eucera dubitata,21 plus,1
Eucera rosae,21 plus,1
Anthophora bomboides,21 plus,1
Eucera dubitata,6 to 10,1
Eucera dubitata,6 to 10,1
Eucera rosae,6 to 10,1
Eucera rosae,6 to 10,1
Eucera rosae,6 to 10,1
Eucera rosae,6 to 10,1
Anthophora bomboides,6 to 10,1
Anthophora bomboides,6 to 10,1
Eucera dubitata,6 to 10,1
Eucera dubitata,6 to 10,1
Unknown,6 to 10,1
Augochlora pura,6 to 10,1
Andrena ,6 to 10,1
Eucera dubitata,6 to 10,1
